EID	sex	age	ehq_total
sub-NDARZDHAZLEK	0.0	7.013347	100.0
sub-NDARQGDLXPYU	0.0	7.620693	90.0
sub-NDARPMCKXFRN	0.0	7.864704	66.67
sub-NDARTXQWTQPJ	0.0	10.375313	73.34
sub-NDARLYKPWWNA	0.0	5.269336	86.67
sub-NDARVLCLBYDC	0.0	7.302988	13.34
sub-NDARAHLEPATC	0.0	7.292037	100.0
sub-NDARZQYFFTRV	1.0	6.733972	-20.0
sub-NDARMMPYGABO	0.0	8.726671	6.67
sub-NDARDRVYFPAX	1.0	6.145334	100.0
sub-NDARMVWDIDTO	1.0	9.200319	13.34
sub-NDARKKHTYCFI	0.0	5.584302	-83.34
sub-NDARAMAOQJNT	1.0	6.076317	90.0
sub-NDARLUGBQKVE	0.0	10.281656	26.68
sub-NDARVUTXDVBX	0.0	6.315195	0.0
